inf_id,fluo_bin,stripe_id,kon,koff,r1,r2,r3,r_eff
1,10,0,0.0190134615616049,0.00785180886505607,26.9397693911986,1677.91726232329,3798.48220887438,2095.40284331016
2,10,0,0.0220598906413744,0.00982142751083949,75.1065233363997,1813.73431054673,4324.59924668752,2173.19887190378
3,10,0,0.0204980744366876,0.0104069518244723,111.807688301979,2011.28897028513,4736.09017495372,2320.90209962217
4,10,0,0.019660854998247,0.00893600161135676,139.305623975139,1823.32759731438,4467.84189530142,2164.2127702541
5,10,0,0.0205638332034068,0.00847775834141879,67.0159279253035,1720.83404482106,3860.19745555235,2063.73061687705
6,10,0,0.0209542316003472,0.00956357354596805,86.528969614165,1847.5020676548,4416.35500318696,2250.0905952138
7,10,0,0.0202893857319072,0.00893965117015184,56.5740728267071,1829.45198073119,4258.51747614823,2152.16842044389
8,10,0,0.023704626077047,0.0121738257847065,46.378123918153,1992.94318667151,4623.61506611277,2319.7923019763
9,10,0,0.0199981747322727,0.0107739416858859,162.699458511403,1805.27013958483,4441.45457255827,2135.15366903873
10,10,0,0.0234817679958579,0.0104084040587757,94.1199659750208,1968.79797811313,4893.23027164922,2254.28614129574
11,10,0,0.0220461962143136,0.00986260803911501,80.4803667080501,1820.8922472669,4045.03599235566,2173.24555687396
12,10,0,0.0212147899965039,0.00805764231858657,88.3264180698843,1728.42170073529,4359.92344281216,2145.99684469401
13,10,0,0.0197084127656625,0.00815627514263422,49.6297341265919,1641.15280378827,3945.46627925884,2088.42269212731
14,10,0,0.021126630655364,0.00716605267426498,32.2658364814392,1514.20624623102,3628.30748862668,2048.57402031957
15,10,0,0.0187529742934104,0.0104817554714134,80.7869535893434,1855.76434985388,4442.99371686001,2218.43085304553
16,10,0,0.0191774276903781,0.00709654086277814,48.9516475557667,1517.50523408631,3654.57925583086,1972.19707983422
17,10,0,0.0210035106974389,0.00972578110707839,84.2900649419507,1797.41556303537,4252.16359156588,2263.78301479343
18,1,0,NaN,NaN,NaN,NaN,NaN,NaN
19,1,0,0.00237821313040808,0.0142274403938717,-1.60229644310087,557.491603281756,1843.05442929678,722.481492435972
20,1,0,NaN,NaN,NaN,NaN,NaN,NaN
21,1,0,NaN,NaN,NaN,NaN,NaN,NaN
22,1,0,NaN,NaN,NaN,NaN,NaN,NaN
23,1,0,NaN,NaN,NaN,NaN,NaN,NaN
24,1,0,NaN,NaN,NaN,NaN,NaN,NaN
25,1,0,NaN,NaN,NaN,NaN,NaN,NaN
26,1,0,0.00189806430607216,0.0105289565479291,-1.16261955832827,390.519078611655,2130.54449686359,707.586210999954
27,1,0,NaN,NaN,NaN,NaN,NaN,NaN
28,1,0,0.00255487293656198,0.0249072359472746,1.52035636928292,927.188835377598,4116.68595405775,1106.86128704467
29,1,0,NaN,NaN,NaN,NaN,NaN,NaN
30,1,0,0.00206577561612864,0.0104469904695168,-1.22356677062367,412.909415731974,1812.77604655652,641.537646077546
31,1,0,NaN,NaN,NaN,NaN,NaN,NaN
32,1,0,NaN,NaN,NaN,NaN,NaN,NaN
33,1,0,0.00256382182503559,0.0136420120765821,-1.61082958477095,509.179515591788,1897.64024130186,673.401796733212
34,1,0,0.00257122976352765,0.0176949430632852,0.853571841436348,688.791737269133,2752.78159424899,832.868400692543
