sim_id,k_off_true,k_on_true,cycle_freq,k_on_raw,k_on_avg_rates,k_on_avg_probs
4,0.00500521329501068,0.01,0.00333564954833061,0.00956551216575837,0.0132114955482017,0.0110786406459183
4,0.00509521419501969,0.01,0.00337538383304341,0.00872536643918859,0.0132987393044676,0.011122937782521
4,0.00518521509502869,0.01,0.00341464711733073,0.00788522071261882,0.0133940889919974,0.0111777679279771
4,0.00527521599503768,0.01,0.00345344772653388,0.00880754449228927,0.0134893081284702,0.0112351985229651
4,0.00536521689504669,0.01,0.00349179379093326,0.00840973718857606,0.0135794926260383,0.0112904363242777
4,0.00545521779505569,0.01,0.00352969325142793,0.00801192988486284,0.0136642084022725,0.0113431748186818
4,0.00554521869506469,0.01,0.00356715386501779,0.0121061838835342,0.0137643701485557,0.011411040272997
4,0.00563521959507369,0.01,0.00360418321009653,0.087060547028569,0.013857615980088,0.0114765102788968
4,0.00572522049508269,0.01,0.00364078869156269,0.0213600185758251,0.0139639974332167,0.0115509749787587
4,0.00581522139509169,0.01,0.00367697754575631,0.0156031082443158,0.0140577121197776,0.0116181900570161
4,0.00590522229510069,0.01,0.00371275684522792,0.0113358942043616,0.0141331503252162,0.0116744203323872
4,0.00599522319510969,0.01,0.00374813350334657,0.00936138681325426,0.0142066495648068,0.0117322911060621
4,0.00608522409511869,0.01,0.0037831142787531,0.0106863377753242,0.0142767163947829,0.0117900828256421
4,0.00617522499512769,0.01,0.00381770577966476,0.0115705535418745,0.0143415922247175,0.0118460309744519
4,0.00626522589513669,0.01,0.00385191446803699,0.0111915239801362,0.0143988714554327,0.0118974138787032
4,0.00635522679514569,0.01,0.00388574666358766,0.0744595131258161,0.0144558865915007,0.0119511076306944
4,0.00644522769515469,0.01,0.00391920854768929,0.0433567438319925,0.0145271734815379,0.0120182339556717
4,0.00653522859516369,0.01,0.00395230616713406,0.0122539745381689,0.0145923741628979,0.0120829868115083
4,0.00662522949517269,0.01,0.0039850454377766,0.00717917382015839,0.0146512703959397,0.0121451367792653
4,0.00671523039518169,0.01,0.00401743214805906,0.00572907771747694,0.0147036464614483,0.0122044473356834
4,0.00680523129519069,0.01,0.00404947196242292,0.00863066360639502,0.0147492882594833,0.0122606748206218
4,0.00689523219519969,0.01,0.00408117042461173,0.00824333115288463,0.0147884351046391,0.0123137598408076
4,0.00698523309520869,0.01,0.00411253296086889,0.00785599869937425,0.0148212565933658,0.0123636143515515
4,0.00707523399521769,0.01,0.00414356488303426,0.00746866624586387,0.0148641832555493,0.0124223359357941
4,0.00716523489522669,0.01,0.00417427139154338,0.00864239528485655,0.0148860581576318,0.0124659134730913
4,0.00725523579523569,0.01,0.00420465757833278,0.0106769017076582,0.0149032757382758,0.0125073708856818
4,0.00734523669524469,0.01,0.00423472842965495,0.0142936605188956,0.0149158558296483,0.0125467021588403
4,0.00743523759525369,0.01,0.00426448882880595,0.01755178084288,0.0149367982634057,0.01259537180323
4,0.00752523849526269,0.01,0.00429394355876918,0.0167554938584502,0.0149567712521631,0.0126447776841524
4,0.00761523939527169,0.01,0.00432309730477792,0.0159592068740204,0.0149961806642915,0.012708788377727
4,0.00770524029528069,0.01,0.00435195465679983,0.0149529347584038,0.0150024431385559,0.0127493557897829
4,0.00779524119528969,0.01,0.00438052011194602,0.0137837366110426,0.0150038203498556,0.0127864096910534
4,0.00788524209529869,0.01,0.00440879807680736,0.0126145384636815,0.0150002920036909,0.012819769874292
4,0.00797524299530769,0.01,0.00443679286972063,0.0114704176942115,0.0149917028861146,0.0128489932545381
4,0.00806524389531669,0.01,0.00446450872296695,0.0103692238384157,0.0149779007845984,0.0128736251518081
4,0.00815524479532569,0.01,0.00449194978490478,0.0133915367749441,0.014958824282452,0.0128933898079026
4,0.00824524569533469,0.01,0.00451912012203979,0.0191952005380676,0.0149344013761316,0.012908000953222
4,0.00833524659534369,0.01,0.00454602372103381,0.0277341253421616,0.0149117054938616,0.0129247014878769
4,0.00842524749535269,0.01,0.00457266449065487,0.0362730501462553,0.0148996263529821,0.0129519855468162
4,0.00851524839536169,0.01,0.00459904626367036,0.0323606326639073,0.0148824578902772,0.012977307213281
4,0.00860524929537069,0.01,0.00462517279868527,0.00833693446830943,0.0148530653565934,0.0129905795253203
4,0.00869525019537969,0.01,0.00465104778192731,0.00867921163469566,0.0148317839474591,0.0130101331850602
4,0.00878525109538869,0.01,0.00467667482898073,0.010056138556942,0.0148195729854899,0.013036686965096
4,0.00887525199539769,0.01,0.0047020574864705,0.0114330654791883,0.0148174387915564,0.0130710139536388
