ncID,AP,PureReal,kon_orig,koff_orig,kon_fit,koff_fit,trace_fluo
1.052,0.281034834018119,1,0.116398402094503,0.00997018992685683,0.0499204294538411,0.00521312790660682,282291.366347705
1.0741,0.30557489120162,0,0.00705504865892368,0.0215036034059051,0.00487382532146968,0.0113322429782826,68204.2187560793
1.0579,0.319411900357167,1,0.0266091359529381,0.0258027443891326,0.0220176682977776,0.0191858542527118,115038.578888625
1.0623,0.436496946752193,1,0.003130295957957,0.0429192844569657,0.0024723351431265,0.0303899479498005,38077.3170782001
1.0531,0.380077019617971,1,0.01831393715787,0.0190724710018083,0.0137477566043086,0.0163919687607862,197962.498026426
1.0606,0.38894448599438,1,0.0112664084491282,0.030815479724496,0.0100130529141413,0.0235791035256232,92680.2575004222
1.0533,0.363986327024698,0,0.00232872849304037,0.0125956121094342,0.00112383057569082,0.0102464977599556,34602.1662228919
1.0607,0.392442131562275,1,0.0205307840484442,0.0129009929352803,0.0175676555328078,0.0098142341467942,133095.667866811
1.0565,0.291639190391492,1,0.0157398970850945,0.0160347768795691,0.0131329570882871,0.011712916204623,173032.517111755
1.0567,0.282031372807695,0,0.020962350632446,0.0121354898630538,0.0172161408140629,0.00789444623938352,196501.023314521
1.0517,0.403430639051058,1,0.0117040534978908,0.00959602287057898,0.0109487475049504,0.00945767407974147,118542.600067092
1.066,0.416512981490414,1,0.00267883352528856,0.0486417938683508,0.00261247267826891,0.0468714587221222,92508.1419347154
1.0673,0.468154925283931,1,0.00143758547011609,0.0102740868390901,0.00134200864029038,0.00763994140425076,45123.3166676973
1.0705,0.497605236686843,0,0.0186466884537375,0.0189735026597745,0.017479188659877,0.00918860347179639,165290.422953242
1.0561,0.275994735671745,0,0.0227108621525467,0.017580182857386,0.0128906094004007,0.00668780978921637,165976.679701748
1.0659,0.407764937980199,1,0.00836817668511246,0.0120656724724522,0.00827650564120046,0.00942197073916954,94249.7188750821
1.0596,0.361150722262845,1,0.00243158922444374,0.00940402307737218,0.00234907406869788,0.00941539813606898,39565.4695793585
1.0534,0.372531631863462,1,0.00668991176720533,0.0111798360216258,0.00631204493572098,0.00882438589847983,113190.478777327
1.064,0.481032488754617,1,0.0165792674630805,0.0142618254976709,0.0141591176192968,0.00998630789439671,180245.250331762
1.0563,0.281626219700061,1,0.0271345539591422,0.00996886373630714,0.0228382241943315,0.00795479736563151,229769.632729494
1.057,0.314172561004718,0,0.00149677798000103,0.016244358704251,1.11029759029073e-14,0.0110718628821706,92819.6428138664
1.0522,0.289663836427223,1,0.0145719758410933,0.0151231927665732,0.0110106760531902,0.0100533585250957,176738.420642017
1.0676,0.483026859436811,1,0.0286806021299391,0.0188581374484127,0.0222241751180601,0.00962462928787399,160189.490051541
1.0613,0.40832015684979,1,0.0164162877407104,0.0118960078756998,0.0153646892949348,0.0100930225471621,128206.849291068
1.0674,0.468248630594958,1,0.00379499367625081,0.0109072515202956,0.00379499367625081,0.0109072515202956,83246.6637768246
1.056,0.267723732969303,1,0.00379739921141132,0.0247208439978279,0.00360618853203445,0.0247777304461098,46477.6302854428
1.0609,0.393803832012046,1,0.0134471270766038,0.0142180680278625,0.0118370694793677,0.0110379552299218,127564.727567434
1.0568,0.304099080975893,1,0.0207045269703245,0.00933160048311285,0.0181861376673361,0.00661075291373953,213055.58740179
1.0874,0.559259075717862,1,0.0200179807187768,0.0124563615751837,0.0133226167934046,0.00622299283409878,143741.091995503
1.061,0.403043659233645,1,0.0116325768107588,0.0162197275310853,0.0102473438725921,0.0149450471760635,124977.515900367
1.0603,0.377006252317409,1,0.0107971572523268,0.00914865584932456,0.00967214053843363,0.00922022493782066,135578.703904221
1.0582,0.323379016371628,0,0.00497899836161517,0.224659734740134,0.00193358742959612,0.144591308360871,9003.59217912862
1.0573,0.309748591976279,1,0.0181715727410661,0.0203374202601257,0.0161776186991455,0.01554953741936,111332.810544081
1.0539,0.37101411613967,1,0.00664638648531304,0.00841091926948336,0.00562259929781794,0.00604006030353501,143917.767634348
