sim_id,k_on_true,k_off_true,cycle_freq,k_off_raw,k_off_avg_rates,k_off_avg_probs
1,0.00512772175944813,0.01,0.0033896192969345,0.01011608745619,0.0106279022797347,0.0104333383528112
1,0.00521772265945713,0.01,0.00342871451676414,0.00847328345575408,0.0106476384818987,0.0104444742823713
1,0.00530772355946613,0.01,0.00346735002029997,0.00875324093808404,0.0106982273176676,0.0104799981923587
1,0.00539772445947513,0.01,0.00350553386877474,0.0111337275004619,0.0107136365178967,0.0104873128019696
1,0.00548772535948413,0.01,0.00354327393604229,0.0135142140628398,0.0107314801720217,0.0104965547353224
1,0.00557772625949313,0.01,0.00358057791399052,0.0128744416264066,0.0107519267452418,0.0105078683898809
1,0.00566772715950213,0.01,0.00361745331776778,0.011854200469611,0.0107676140596175,0.0105151712661167
1,0.00575772805951113,0.01,0.00365390749083009,0.0141225612800295,0.010795972456098,0.0105320640927762
1,0.00584772895952013,0.01,0.00368994760981651,0.0139860555872867,0.0108121258610918,0.0105389301933015
1,0.00593772985952913,0.01,0.00372558068925919,0.00954213962378096,0.0108371109666186,0.0105539106882539
1,0.00602773075953813,0.01,0.00376081358613478,0.0108224600114247,0.0108580243199671,0.0105655399414737
1,0.00611773165954713,0.01,0.00379565300426339,0.0128835295013361,0.0108759796430135,0.0105746821140987
1,0.00620773255955613,0.01,0.00383010549856095,0.0112647705725946,0.0108998572686415,0.0105894324647375
1,0.00629773345956513,0.01,0.00386417747915063,0.00986276496392123,0.010918915104459,0.0105991091982775
1,0.00638773435957413,0.01,0.00389787521533887,0.00861732545821281,0.01096021830705,0.0106262847212714
1,0.00647773525958313,0.01,0.00393120483946106,0.0073718859525044,0.0109850083210873,0.0106407204906606
1,0.00656773615959213,0.01,0.00396417235060183,0.00612644644679599,0.0110156682803377,0.0106600005939243
1,0.00665773705960113,0.01,0.00399678361819486,0.0172800832548842,0.0110376476172251,0.0106721503728146
1,0.00674773795961013,0.01,0.0040290443855065,0.0123934154240971,0.0110560312666206,0.0106815017680436
1,0.00683773885961913,0.01,0.0040609602730077,0.0113778090070583,0.0110725467649892,0.0106889602332186
1,0.00692773975962813,0.01,0.00409253678163842,0.00727506613769846,0.0110907758164937,0.0106964604341565
1,0.00701774065963713,0.01,0.0041237792959684,0.00887801625384576,0.0111126567613551,0.0107056211884459
1,0.00710774155964613,0.01,0.00415469308725818,0.0104809663699931,0.0111384857678926,0.0107166148169457
1,0.00719774245965513,0.01,0.004185283316424,0.0120839164861404,0.0111685794194741,0.0107296322295099
1,0.00728774335966413,0.01,0.0042155550369101,0.0114015323086866,0.0111977022493566,0.0107427951817943
1,0.00737774425967313,0.01,0.00424551319747175,0.0100007468067839,0.0112256266014651,0.010756063931608
1,0.00746774515968213,0.01,0.00427516264487226,0.010340928644075,0.0112522365400096,0.0107694428830537
1,0.00755774605969113,0.01,0.00430450812649701,0.0110330461999263,0.011280176333306,0.0107846463323961
1,0.00764774695970013,0.01,0.00433355429288753,0.0117251637557777,0.0113173643891339,0.0108066492454258
1,0.00773774785970913,0.01,0.00436230570019841,0.0118735012298608,0.0113596184528259,0.0108323416435458
1,0.00782774875971813,0.01,0.00439076681257981,0.011469327503924,0.0113905787758152,0.0108495585844766
1,0.00791774965972713,0.01,0.00441894200448814,0.0110651537779873,0.0114092777035671,0.0108575492544678
1,0.00800775055973613,0.01,0.00444683556292745,0.0121721744410094,0.0114339079404588,0.0108705031740481
1,0.00809775145974513,0.01,0.00447445168962397,0.0144790552243004,0.0114590780939409,0.0108803661801483
1,0.00818775235975413,0.01,0.00450179450313607,0.0125451914666902,0.0115118263756011,0.0109045040652688
1,0.00827775325976313,0.01,0.00452886804090187,0.00905156900651253,0.0115671154786455,0.0109333963885539
1,0.00836775415977213,0.01,0.00455567626122667,0.0087572930844232,0.0116073983055294,0.0109578057011187
1,0.00845775505978113,0.01,0.00458222304521221,0.00846301716233388,0.0116362277193325,0.0109732328051489
1,0.00854775595979013,0.01,0.0046085121986298,0.00816874124024454,0.0116781996500639,0.0109985187144405
1,0.00863775685979913,0.01,0.00463454745373914,0.0158822246390724,0.0117683185467616,0.0110543087589784
1,0.00872775775980813,0.01,0.00466033247105474,0.0243020019021179,0.01191051187044,0.0111434048337641
1,0.00881775865981713,0.01,0.00468587084106159,0.0128764790634906,0.0119484743026081,0.0111638646230388
1,0.00890775955982613,0.01,0.00471116608588185,0.0129444243129977,0.0119854453951931,0.0111817110138832
1,0.00899776045983513,0.01,0.00473622166089424,0.0126382622101632,0.012021532232269,0.0112004667712032
1,0.00908776135984413,0.01,0.00476104095630748,0.0123321001073288,0.0120572377664835,0.0112186872573168
1,0.00917776225985313,0.01,0.00478562729868955,0.0106962345875976,0.0120925589860495,0.0112359809251069
1,0.00926776315986213,0.01,0.004809983952454,0.0101915821505812,0.0121445091619998,0.0112682487057723
1,0.00935776405987113,0.01,0.00483411412130489,0.0111116883822556,0.0121920292180623,0.0112973618809441
1,0.00944776495988013,0.01,0.00485802094964149,0.0083789773986994,0.0122291969119323,0.011317158594802
1,0.00953776585988913,0.01,0.00488170752392426,0.00910507813370254,0.0122659525104926,0.0113358999047425
1,0.00962776675989813,0.01,0.00490517687400321,0.00960726228320559,0.012341163725249,0.0113866376752836
1,0.00971776765990713,0.01,0.00492843197440988,0.0113936885343865,0.0123978595390641,0.0114222798703073
1,0.00980776855991613,0.01,0.00495147574561405,0.0249747020459368,0.0124399553350942,0.0114475969779067
1,0.00989776945992513,0.01,0.00497431105524648,0.00819706190036717,0.012479269817659,0.0114696642639172
