fluo_bin,mean_fluo,stripe_id,kon,kon_err,koff,koff_err,r,r_err
1,12539.5149215767,0,0.1436856050265,0.0142082230492776,0.840170790048837,0.178178561136071,43054.3400390891,5025.88415639149
1,12539.5149215767,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12539.5149215767,2,0.145609427286971,0.0179153756852302,0.740821535683942,0.156094015464015,36598.9605644315,3296.01989452939
1,12539.5149215767,3,0.152218419646743,0.0123823850469327,0.991345499212012,0.119854246035151,48224.3665994431,2092.524390092
1,12539.5149215767,4,0.108828760538127,0.0119241460494218,0.747577572023318,0.246118172866459,44397.8095606011,7200.06821942398
1,12539.5149215767,5,0.123961409252122,0.0156769403262623,0.720746931478977,0.206605677738326,44542.7078171476,5421.40499260546
1,12539.5149215767,6,0.121647753594422,0.0215762028406765,0.606129132578756,0.205994144807744,40118.0626377707,3545.26819077361
1,12539.5149215767,7,0.107335138891822,0.00388666385902699,0.622315892645277,0.0716484286185163,40678.3536960156,4055.63962086789
2,31519.5311936107,0,0.260134310836617,0.0245992982014226,0.756038082820136,0.0998024362376875,55433.2352362346,2018.42384411481
2,31519.5311936107,1,0.290371485302343,0.063321987611089,0.836290497064074,0.199980286456778,47214.9870522171,5236.8807766579
2,31519.5311936107,2,0.303945946621635,0.0436423702298327,0.760051274912257,0.24769047924387,49558.4098893688,8379.8577476488
2,31519.5311936107,3,0.272078298243055,0.0346157675066817,0.770204208248267,0.171557279163876,53425.3603099787,6356.28664721542
2,31519.5311936107,4,0.265918891644263,0.0353077395038748,0.673523883607639,0.173218563221732,49689.0120141873,4935.11437033057
2,31519.5311936107,5,0.229520824433036,0.0252548954388169,0.851337414770243,0.10825496061541,66937.9499692292,4333.20796907348
2,31519.5311936107,6,0.257312138744729,0.0240457506539167,0.797774504798435,0.13326679305508,61308.3103924601,3550.76185594889
2,31519.5311936107,7,0.229735240706564,0.0161471947375551,0.570177460431244,0.0343117359425846,52042.4161942617,1727.70798286148
3,45502.2634259815,0,0.4203857697255,0.0660237134135632,0.916241254602737,0.28943587486596,64903.2027974558,9045.50673244546
3,45502.2634259815,1,0.364828424571212,0.0818105602820303,0.730651640839428,0.24824439620916,59620.877513417,11403.5964456601
3,45502.2634259815,2,0.486032263917331,0.0678619951760416,0.935014334471064,0.274522729884694,58888.7890307031,6008.81610992363
3,45502.2634259815,3,0.500486326835403,0.0348851287894781,1.27762929297038,0.272094276810985,76257.2901307756,9227.11483414092
3,45502.2634259815,4,0.440151578861773,0.0444249778983875,0.732937389097173,0.109952275859575,59187.8907745606,5035.1145670165
3,45502.2634259815,5,0.421053031557529,0.0401976264070545,1.00550270239193,0.150362903827132,70124.0745330074,3982.24921061481
3,45502.2634259815,6,0.336328622364168,0.046559198067851,0.651573539670979,0.126741661995934,59443.4563960527,2641.18798341665
3,45502.2634259815,7,0.293670530481344,0.0319163306575702,0.645313377936514,0.0849777566133141,71169.1028488218,3067.69505419857
4,58145.049321716,0,0.506317917606201,0.0788961059881283,0.909014427815628,0.2102266389456,76334.479975412,5626.84459251025
4,58145.049321716,1,0.402238539798285,0.0766943947792246,0.885219137411137,0.214675573313528,79168.2654393759,8560.14089418533
4,58145.049321716,2,0.598339776905296,0.0765717856934317,0.787241299249295,0.12324766264142,64500.0928259932,3617.59776038393
4,58145.049321716,3,0.575613496409491,0.064773394434708,0.895724205901122,0.189944865913631,73857.4067335559,9134.55465573743
4,58145.049321716,4,0.506012651240426,0.0430814645114064,0.807165140379201,0.099902637734992,74232.2529092465,4120.10353678266
4,58145.049321716,5,0.483770678271194,0.0409926644465265,0.778993154023627,0.0839376186786604,70262.1756940895,2134.41295474732
4,58145.049321716,6,0.397749075499636,0.0555726822824879,0.682625384933516,0.181893851964904,77424.6205467494,8382.12532103787
4,58145.049321716,7,0.472224440046083,0.0477624625748498,0.716097893786079,0.101606718159092,67760.5054167894,2903.7987980835
5,70422.4831428139,0,0.668716274907257,0.0604337424699422,0.89780593085763,0.158066561969693,80713.1598488295,6180.83124567471
5,70422.4831428139,1,NaN,NaN,NaN,NaN,NaN,NaN
5,70422.4831428139,2,0.926799267971615,0.0764868783918,0.971012146994595,0.250517566845888,69319.2401854393,6689.72533290764
5,70422.4831428139,3,0.608952488541082,0.0489441814286866,0.836634003442279,0.0678337974467455,79418.0469045481,2741.52920119395
5,70422.4831428139,4,0.714948918842585,0.0652733414635891,0.82811493064588,0.133927449270313,76331.4295943126,5060.51899146267
5,70422.4831428139,5,0.509612622130275,0.0224926662159699,0.732848782909987,0.0677276384711408,79280.471890397,2178.97657289343
5,70422.4831428139,6,0.603660208229248,0.0732578365433821,0.863970641417081,0.145140669137483,89326.7590783137,2334.31055135035
5,70422.4831428139,7,0.647548186267704,0.1234382754034,0.724498026225705,0.230722154891112,74434.4819420452,5527.96328982001
6,83255.7416675527,0,0.791932820415913,0.0673107052516863,0.876845839540281,0.109450054732383,87370.9441690227,3674.97311259495
6,83255.7416675527,1,0.813391586152284,0.0863883271596357,0.94664319404184,0.175276971176456,87696.4950408631,6550.4266641339
6,83255.7416675527,2,0.996091839669545,0.0894402811008219,1.13906721444533,0.198105056298985,85716.269088418,9722.76711221577
6,83255.7416675527,3,0.575947085951691,0.0412710207508106,0.730907366064526,0.0644252128009566,93041.1784222375,4297.93844545352
6,83255.7416675527,4,0.883977997350085,0.124562052948131,0.884117741454984,0.134401814659462,80536.2129823908,2429.08954601415
6,83255.7416675527,5,0.524962842861706,0.0622652897486056,0.767466549690464,0.125917167579951,90976.5657553034,5819.60462300777
